time,elapsed_sec,active,visible,total,active_pct
15:32:29,19,1,1,30,3.3
15:32:34,25,1,1,30,3.3
15:32:39,30,0,1,30,0.0
15:32:45,35,0,1,30,0.0
15:32:50,41,0,1,30,0.0
15:32:56,46,0,1,30,0.0
15:33:01,52,0,1,30,0.0
15:33:06,57,1,1,30,3.3
15:33:12,62,1,1,30,3.3
15:33:17,67,1,1,30,3.3
15:33:22,73,1,1,30,3.3
15:33:28,78,1,1,30,3.3
